1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
,,,,,1P,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
,,1,,,1,,1,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
1,7-5,5,5,5,5,5,5,5,1,,,,,,,,,,,1,1,1,1,1,1,1,1,,
1,5,5,5,5,5,5,5,5,1,,,,,,,,,,,1,1,1,1,1,1,1,1,,
1,5,5,5,5,5,5,5,5,1,,,,,7,,,,,,1,,5,5,5,5,5,5,,
1,5,5,5,5,5,5,5,5,1,,,,,0-5,,,,,,1,2P,5,5,5,5,5,5,,7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
