1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,,,,,1,,,,1,1,,,,1,,,,,1
1,,,,,5,,,P1,1,1,P2,,,5,,,,,1
1,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1
1,,,,7,,,,,1,1,,,,,,,,,1
1,,,,,,,,,1,1,,,,,,,,,1
1,1,1,1,1,1,1,,,1,1,,,,1,1,1,1,1,1
1,,,,,,,,,1,1,,,,,,,,,1
1,,,,,,,,,1,1,,,,,,,,,1
1,,,,,,,,,1,1,,,,,,,,,1
1,,,,,,,,,1,1,7,,,,,,,,1
1,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1
1,,,,,,,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,1
1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1
1,,,,,,,,,,0,,,,,,,,,1
1,,,,,,,,7,,1,,7,,,,,,,1
1,,,,,,,,,,,,,,,,,,,1
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R,0,,,,,,,,,,,,,,,,,,
